M2, WZ+, WZ-, Wh+, Wh-, WW, ZZ+, ZZ-, hZ+, hZ-, hh+, hh-, N3C2xc, C2C2xc, N1/C1 Mass, N2 Mass, N3/C2 Mass
300, 0.0861539, 0.0858824, 0.0657026, 0.0646577, 0.185521, 0.0398122, 0.0394772, 0.0302767, 0.0296013, 0.0229883, 0.0221139, 0.202702, 0.0981646, 90.7438, 111.673, 356.813
325, 0.0646513, 0.0648101, 0.0517328, 0.0509322, 0.136662, 0.0304786, 0.0305436, 0.0243392, 0.0239281, 0.0194135, 0.0186851, 0.154701, 0.0748171, 92.0636, 111.085, 382.434
350, 0.0485933, 0.0489519, 0.0405381, 0.0401655, 0.10172, 0.0231511, 0.0234464, 0.0192818, 0.0191948, 0.0160432, 0.0156802, 0.118443, 0.0574144, 92.8518, 110.438, 408.438
375, 0.0373051, 0.0372604, 0.0319286, 0.0316306, 0.0770892, 0.0180157, 0.0179917, 0.0153993, 0.015247, 0.0131522, 0.0128992, 0.0917484, 0.0445669, 93.0846, 109.676, 434.876
400, 0.0290347, 0.0287144, 0.0252658, 0.0251405, 0.0593104, 0.0141907, 0.0139189, 0.0123332, 0.0121692, 0.0107084, 0.0106237, 0.0719684, 0.034807, 94.9197, 110.505, 461.185
425, 0.0225356, 0.0223613, 0.0200784, 0.0200847, 0.045881, 0.0110554, 0.0109141, 0.00983882, 0.00979152, 0.00874676, 0.0087733, 0.0568059, 0.0271271, 96.1818, 110.204, 487.37
450, 0.017731, 0.0175856, 0.0160832, 0.0160983, 0.0357737, 0.00877955, 0.00865472, 0.00795608, 0.00791525, 0.00720329, 0.00723083, 0.0450567, 0.0215143, 95.9665, 109.452, 513.816
475, 0.0140233, 0.0139236, 0.012916, 0.012891, 0.0281658, 0.00697497, 0.00689634, 0.00641885, 0.00637937, 0.00590286, 0.00589587, 0.0360101, 0.0170314, 95.9887, 109.368, 540.337
500, 0.0112548, 0.0111934, 0.0104428, 0.0104459, 0.022491, 0.00562652, 0.00557624, 0.00521706, 0.00520013, 0.0048351, 0.00484664, 0.0291782, 0.0135643, 96.5466, 109.667, 566.945
525, 0.00927017, 0.00921481, 0.00868629, 0.00866964, 0.0184414, 0.00465569, 0.00460883, 0.00435978, 0.00433362, 0.00408101, 0.00407298, 0.0240389, 0.0111967, 96.7792, 109.599, 593.638
550, 0.00758027, 0.00756677, 0.00718908, 0.00718332, 0.0150856, 0.00380592, 0.00379312, 0.00360771, 0.00359897, 0.00341875, 0.00341343, 0.0198061, 0.0091324, 97.1526, 109.223, 620.245
575, 0.00601458, 0.00600102, 0.00576037, 0.00576961, 0.011974, 0.00301942, 0.00300249, 0.0028906, 0.00288538, 0.00276642, 0.00277168, 0.0159033, 0.00727409, 98.3519, 109.295, 646.667
600, 0.00481232, 0.00479878, 0.00465544, 0.00465318, 0.00960383, 0.00241021, 0.00239748, 0.00233061, 0.00232372, 0.00225276, 0.00225121, 0.0127299, 0.00591614, 99.3602, 109.457, 673.292
625, 0.00393575, 0.00394238, 0.00385124, 0.00385792, 0.00785244, 0.00197177, 0.0019776, 0.00192855, 0.00193438, 0.0018854, 0.00189131, 0.0104516, 0.00493156, 99.7681, 108.909, 699.766
650, 0.00328446, 0.00328122, 0.00322528, 0.00322332, 0.00651262, 0.00165571, 0.00165324, 0.00162518, 0.00162338, 0.00159453, 0.00159341, 0.0087093, 0.00415716, 99.6884, 109.588, 726.188
675, 0.00277676, 0.00277912, 0.00272558, 0.00271871, 0.00547995, 0.00140629, 0.00140839, 0.0013799, 0.00137731, 0.0013537, 0.00134663, 0.00732071, 0.00350218, 99.5699, 109.569, 752.998
700, 0.00230878, 0.00231273, 0.00228002, 0.00227485, 0.00456261, 0.00116758, 0.00117246, 0.00115266, 0.00115292, 0.00113772, 0.00113356, 0.0061455, 0.00290378, 99.7173, 109.178, 779.918
725, 0.00188407, 0.00188042, 0.00186134, 0.00185814, 0.00369853, 0.000959148, 0.000955611, 0.000947225, 0.000943928, 0.000935256, 0.000932171, 0.00502225, 0.00236406, 99.6681, 109.658, 806.395
750, 0.00153019, 0.00153326, 0.00152043, 0.00152003, 0.00300544, 0.000778569, 0.000779629, 0.000773309, 0.000772571, 0.000767917, 0.00076537, 0.00410772, 0.001905, 99.4438, 109.508, 832.884
775, 0.00127015, 0.00127603, 0.00127458, 0.00127385, 0.00251678, 0.000640553, 0.000646122, 0.000642529, 0.000644809, 0.00064437, 0.000643409, 0.00345211, 0.00156535, 99.439, 109.622, 859.634
800, 0.00107833, 0.00106462, 0.00108208, 0.00108445, 0.00213965, 0.000542853, 0.000540355, 0.000544506, 0.000550357, 0.000546075, 0.000560537, 0.00291539, 0.00133691, 99.7307, 109.457, 886.237

