mu, WZ+, WZ-, Wh+, Wh-, WW, ZZ+, ZZ-, hZ+, hZ-, hh+, hh-, N2N3xc, N2C1xc, N3C1xc, C1C1xc, N1 Mass, N2/C1 Mass, N3 Mass
325, 0.0674326, 0.072633, 0.065519, 0.0580895, 0.0374061, 0.00597554, 0.00936859, 0.0237117, 0.0178959, 0.00354445, 0.00495572, 0.0321483, 0.070566, 0.0600973, 0.0374061, 98.9126, 338.938, 343.418
350, 0.053214, 0.0552314, 0.0490393, 0.0457063, 0.028153, 0.00479314, 0.00683047, 0.0169979, 0.0131133, 0.00287193, 0.00408267, 0.0241065, 0.0539583, 0.0471814, 0.028153, 98.8038, 365.915, 368.633
375, 0.0409067, 0.042697, 0.038743, 0.0364368, 0.0213796, 0.00349029, 0.00508111, 0.0126189, 0.00984316, 0.00242447, 0.003372, 0.0183371, 0.0416967, 0.0375388, 0.0213796, 99.0903, 389.314, 394.002
400, 0.0313142, 0.0323684, 0.0300505, 0.0285755, 0.0166307, 0.0027115, 0.00385475, 0.00965222, 0.00752951, 0.00199651, 0.00277397, 0.0141103, 0.0321479, 0.0287033, 0.0166307, 100.008, 417.999, 419.475
425, 0.024599, 0.0251398, 0.0236522, 0.0226695, 0.0129168, 0.00214888, 0.00296613, 0.00746754, 0.0058201, 0.0016473, 0.00226712, 0.010963, 0.0250345, 0.0225862, 0.0129168, 100.832, 441.962, 444.827
450, 0.0192451, 0.0196871, 0.0188008, 0.0180984, 0.0101671, 0.00168629, 0.00230643, 0.00576279, 0.0045371, 0.00136716, 0.00184814, 0.00860677, 0.0197751, 0.0178299, 0.0101671, 100.833, 466.874, 469.97
475, 0.0149529, 0.0153565, 0.0149054, 0.0144414, 0.00813798, 0.00132855, 0.00180726, 0.00447998, 0.00357196, 0.00111812, 0.00151304, 0.00684354, 0.015787, 0.0139092, 0.00813798, 100.732, 491.345, 495.153
500, 0.0118689, 0.0121712, 0.0119606, 0.011643, 0.00647378, 0.00106465, 0.00142453, 0.00352158, 0.00282897, 0.000919858, 0.0012408, 0.0054873, 0.0126762, 0.0111246, 0.00647378, 100.772, 517.102, 520.406
525, 0.00960303, 0.00982536, 0.00977098, 0.00950558, 0.00522812, 0.000851929, 0.00112477, 0.00278224, 0.00224297, 0.00076798, 0.00101379, 0.00441767, 0.0102422, 0.0091674, 0.00522812, 100.773, 543.764, 545.559
550, 0.00784951, 0.00800672, 0.00799498, 0.00776168, 0.00420967, 0.000693828, 0.000908078, 0.00224026, 0.00180389, 0.000641073, 0.000827762, 0.00358166, 0.00832339, 0.00753706, 0.00420967, 100.765, 566.287, 570.413
575, 0.00632161, 0.00651031, 0.00652841, 0.00630431, 0.00337857, 0.000574467, 0.000756024, 0.00183255, 0.00148518, 0.000538611, 0.000686039, 0.0029443, 0.00681682, 0.0060332, 0.00337857, 100.768, 594.253, 595.448
600, 0.00522236, 0.00538901, 0.00541676, 0.00525268, 0.00278354, 0.000471095, 0.000619194, 0.00148906, 0.00121907, 0.000451195, 0.000573155, 0.00241994, 0.00562989, 0.00502914, 0.00278354, 100.768, 615.217, 621.002
625, 0.00435234, 0.00450315, 0.00451635, 0.00443523, 0.00232517, 0.000384851, 0.00050788, 0.00120808, 0.0010101, 0.00037783, 0.000484449, 0.00199569, 0.00466825, 0.00425624, 0.00232517, 100.768, 640.205, 646.468
650, 0.00361437, 0.00374724, 0.00377646, 0.00370843, 0.00193625, 0.000324797, 0.00042453, 0.00100392, 0.000845928, 0.000320765, 0.000409053, 0.00166331, 0.00390246, 0.00351904, 0.00193625, 100.768, 665.282, 671.272
675, 0.00299564, 0.00309106, 0.00315596, 0.00307355, 0.0016009, 0.000277695, 0.000353152, 0.000842654, 0.000703972, 0.000272862, 0.000342449, 0.00138723, 0.0032719, 0.00286707, 0.0016009, 100.768, 687.627, 695.608
700, 0.00246605, 0.00254714, 0.00263541, 0.00255951, 0.00133517, 0.000231801, 0.00029088, 0.000697643, 0.000584019, 0.000230712, 0.00028793, 0.00115194, 0.00274379, 0.00234093, 0.00133517, 100.768, 714.43, 721.154
725, 0.00203704, 0.00212945, 0.00222277, 0.00215191, 0.00115005, 0.000190019, 0.000239999, 0.000569189, 0.000483643, 0.000194169, 0.000240275, 0.000956651, 0.00232596, 0.00194154, 0.00115005, 100.768, 738.663, 748.153
750, 0.00170249, 0.00178012, 0.00187129, 0.00179333, 0.00100089, 0.000159314, 0.000199155, 0.000473727, 0.000399529, 0.000163719, 0.000198299, 0.000799414, 0.00196684, 0.00161383, 0.00100089, 100.768, 763.212, 775.7
775, 0.00140553, 0.00147794, 0.00156564, 0.00148134, 0.00086445, 0.000134784, 0.000167739, 0.000399263, 0.00033428, 0.000139254, 0.000165441, 0.000672086, 0.00165647, 0.00131396, 0.00086445, 100.768, 787.829, 802.375
800, 0.0011798, 0.00128227, 0.00134267, 0.00129152, 0.000741477, 0.000111022, 0.000146326, 0.000331724, 0.000293183, 0.000119969, 0.000146249, 0.000566849, 0.00141329, 0.00111883, 0.000741477, 100.768, 813.76, 826.5

